English word	Variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
analyze		t'áádoole'é át'éegi nidanees'ą́ągi naalkaah	To study or examine something in detail, in order to discover more about it	T'áá ha'át'ííshį́į́ baa ajółta' éí doodago jinéł'į́įgo nijiłkaah t'áá nináníłtsojį' éí bee béézhdi'dootį́į́ł biniyé.										
anaphase		ats'íís bitł'óól ałts'ánísé	The stage of cell division in mitosis or meiosis in which the doubled set of chromosomes separates into two identical groups that move to opposite ends of the cell	Ats'íís bitł'óól ałts'á níséego iiná bitł'óól (DNA) bik'ehgo náás oochíiłii biyi'di naaki ałch'į' naazlá, éí t'áá ahedaałt'éego ałts'ákah dóó ahidiníł náádę́ę́' niikah áádóó ałts'á nísééh.										
ancestor	0	azází	One from whom an individual is descended, whether on the father's or mother's side, at any number of generations.	Hak'éí nát'ą́ą́' ahool'áago hamá dóó hazhé'é dabishchíníinii bits'ą́ą́dę́ę́' hojizhlį́į́'ígíí		less commonly used than ánaasází								
ancestor	1	ánaasází	@0	@0		most common								
animal	0	naaldeehii	A large group of multicellular eukaryotic organisms; organism other than man	Hináanii bits'íís bitł'óól (cells) daholónígíí biyi'di bijéí (nucleus) iiná bitł'óól dóó bik'ehgo náás oochíiłii nídahineeshzhee'. Dahináanii doo bíla'ashdla'ii ádaat'éhígíí.	living things that move about									animal-that-move-dine
animal	1	naaldlooshii	@0	@0	living things that trot or walk									animal-that-trot-dine
antibiotic		ch'osh doo yit'íinii bee naatseedí	A substance that kills or inhibits the growth of bacteria.	Ch'osh doo yit'íinii bee yigání éí doodago bee ni'óolziní										
antibody		ats'íís bee doo bihodééłníinii	A protein produced by the body's immune system when it detects harmful substances	Ats'íís bee doo bihodééłníinii ats'íís hasht'éé yoodlíiłii (protein) áyiił'įįh ats'íís atíidoolíłii yaa ákoniizįįhgo										
asexual reproduction		biką' dóó bi'áadii t'áá gééd oochííł	The process of creating offspring without exchanging genetic information with another organism through sex.	Azhé'é t'áágééd i'niitsąąh dóó ni'iichííh. Amá t'áá sáhá idínóoltsąął dóó adoołchííł.										
atom		atom	The smallest component of an element having the chemical properties of the element, consisting of a nucleus containing combinations of neutrons and protons and one or more electrons	T'áá ha'át'ííshį́į́ bee ályaii t'ááłá'í si'ą́ągo, atom wolyé, bijéí hólǫ́, bijéí biyi'di proton biniltł'ish shábik'ehgo bii' silá éí positive deiłní dóó neutron bitsiniltł'ish bąą ádin ákondi yee óchíidii, béésh ná'iiláhá nahalingo bii' hólǫ́. Atom bijéí bii' siléí										
ATP (adenosine triphosphate)		ats'íís bitł'óól biziil	Principal molecule for storing and transferring energy in cells.	Ats'íís bitł'óól biyi'di t'áádoole'é si'ą́ągo ats'íís bitł'óól yee biinéí dooígíí bii' nihwiileeh dóó náásgóó ííł'į́										
autoimmune disease		ats'íís ádík'ijį' naalnish	Occurs when the body's immune system attacks and destroys healthy body tissue by mistake	Ats'íís iisiihgo ádík'ijį' naalnish yileehgo ats'íís doo bąąhtééh da yę́ę niyiiłchxǫǫh yileeh										
autotroph		bich'iiyą' t'áá bí ííł'íinii	An organism capable of making its own food from inorganic substances using light or chemical energy (compare with heterotroph)	Hináanii t'áá bí ch'iyáán yidooyį́į́łígíí ííł' į́ t'áá ákǫ́ǫ́h binaagóó hólónígíí adinídíín dóó t'áádoole'é ałtah nihwiileehgo ahił nidaalnishígíí bits'ą́ą́ biziil choyooł'į́įgo										
bacteria		chʼosh doo yitʼínii	Microscopic single celled organisms.	T'áádoole'é bits'íís bitł'óól t'ááłá'ígo yee hiná ch'osh doo yit'íinii dabijiní	chʼosh=bug, doo yitʼínii= you can't see.	Also includes viruses								
base		ats'íís bee nihwiileehii bá siléíí	A substance that becomes more positively or negatively charged during a chemical reaction and accepts hydrogen ions when dissolved in water.	Ha'át'íi da náádaa łahdę́ę́' ha'át'íi da bił ahiih yilyéehgo bitsiniltł'ish bilááh éí doodago a'oh yileeh  taah ji'áahgo níłch'i hydrogen bitsiniltł'ish náyiilááh										
base pair		ats'íís bee haleehii ałch'į' nanideeh	Two nucleotides (also known as bases) that combine and join to make DNA. Base A combines with T and base G combines with C.	Bee iiná hodooleełii nucleotide naakigo ahidii'ash éí ats'íís bitł'óól DNA yileeh										
behavior		hináanii áát'įįłgi át'éego	How an organism acts	Hináanii áát'įįłígíí				hináanii						
biochemical reaction		bee iináanii nidaalnish	In organisms, chemical reactions that help sustain life and allow cells to grow	Hináanii bits'íístahdi t'áá ałtso ahił nidaalnishgo yee hiná dóó bits'íís bitł'óól hazhó'ó danéesé										
biodiversity		hináanii ał'ąą ádaat'éhígíí	The variety of life and its processes, including the variety of living organisms, the genetic differences among them, and the communities and ecosystems in which they occur	Iiná ał'ąą ádaat'éego bits'ą́ą́dóó ayoonaałígíí éí díí dahináanii t'áá ałtso, bik'ehgo yee oołchíiłii dóó naaldeehgo bá nahaz'áą́góó dóó hózhǫ́ǫgo bá dahoo'a'gi				hináanii						
